episode_id,suite,success,reward_positive,object_lift,semantic_any,first_success_stage,reward_sum,eef_displacement,eef_path_length,object_motion,f10609,f11471,f1972,f9215,f11070,f3154,f11183,f9998,f15966,f1528,f5981,f15118,f14915,f1457,f8150,f13328,f15790,f15872,f3212,f15030
chunk_02_rollout_000060,long,1,1,1,1,1.0,1.0,0.31706586480140686,1.8396053314208984,0.4110875129699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000061,object,1,1,1,1,1.0,1.0,0.2883097529411316,1.047461986541748,0.3969722092151642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000062,long,0,0,1,1,,0.0,0.28099653124809265,1.824411153793335,0.2364858090877533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000063,object,1,1,1,1,1.0,1.0,0.3137683570384979,0.9765751957893372,0.3874177038669586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000064,object,0,0,0,0,,0.0,0.23987436294555664,0.9762027859687805,0.0012244121171534061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000065,long,1,1,0,1,1.0,1.0,0.2807099521160126,2.1111326217651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000066,long,0,0,0,0,,0.0,0.2038956731557846,2.840701103210449,7.450580596923828e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000067,goal,0,0,1,1,,0.0,0.174956813454628,1.6450634002685547,0.2630050480365753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000068,spatial,0,0,1,1,,0.0,0.37433192133903503,0.9626877903938293,0.22191327810287476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000069,goal,1,1,0,1,1.0,1.0,0.27656447887420654,0.6396644115447998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000070,spatial,1,1,1,1,1.0,1.0,0.4419762194156647,0.8766934871673584,0.24551860988140106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_02_rollout_000071,spatial,1,1,1,1,1.0,1.0,0.4412306845188141,0.8379198312759399,0.23518140614032745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000072,spatial,1,1,1,1,1.0,1.0,0.43502277135849,1.0649064779281616,0.2217991054058075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000073,goal,0,0,0,0,,0.0,0.33380892872810364,1.5076377391815186,0.07255961000919342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000074,goal,1,1,0,1,1.0,1.0,0.2952613830566406,0.731238067150116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
