feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,75,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,76,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,77,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,78,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,79,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,80,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,81,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,82,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,83,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,84,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,85,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,86,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,87,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,88,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,89,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,90,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,91,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,92,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,93,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,94,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,95,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,96,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,97,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,98,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,99,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,100,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,101,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,102,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,103,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,104,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,105,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,106,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,107,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,108,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,109,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,110,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,111,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,112,1,1,1,0,1,0,0.3730250298976898,0.3084590435028076,0.045736998319625854,0.0641258955001831,0.7530864197530864,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,113,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,114,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,115,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,116,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,117,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,118,0,0,1,1,1,1,0.2788101136684418,0.16685296595096588,0.0481363907456398,0.12142857164144516,0.9333333333333333,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,119,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,120,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,121,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,122,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,123,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,124,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,125,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,126,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,127,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128_random01,True,goal,1,mild,0,1,1,1,1,1,1,0.15298856794834137,0.14441508054733276,0.04035374894738197,0.0,0.7647058823529411,0,0,0
robust20_goal1_all_alpha1p0_start20_n128_random01,True,goal,1,clean,1,1,1,1,1,1,1,0.24004903435707092,0.19999465346336365,0.05274210497736931,0.032786883413791656,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128_random01,True,goal,1,clean,2,1,1,1,0,1,0,0.27898693084716797,0.23115581274032593,0.03953513875603676,0.054794520139694214,0.7849462365591398,0,-1,-1
