group_col,group,method,high_episode,low_episode,progress_gap,score_delta_high_minus_low,correct
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000550,0.42364464799366475,0.1021043062210083,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000550,0.42364464799366475,-0.018905282020568848,0.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000603,0.24171340217741805,-0.2318924069404602,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000603,0.24171340217741805,0.18595266342163086,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000603,0.24171340217741805,0.0033612847328186035,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000603,0.24171340217741805,-0.02454674243927002,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000383,rollout_000603,0.24171340217741805,-0.007902741432189941,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000383,rollout_000603,0.24171340217741805,-0.006632030010223389,0.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000674,0.35453929431294684,-0.12326216697692871,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000674,0.35453929431294684,0.29781174659729004,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000674,0.35453929431294684,0.09214997291564941,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000674,0.35453929431294684,-0.004631757736206055,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000383,rollout_000674,0.35453929431294684,0.0014008283615112305,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000383,rollout_000674,0.35453929431294684,-0.0016538500785827637,0.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000416,0.27623756555501633,-0.13893815875053406,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000416,0.27623756555501633,0.23880302906036377,1.0
