dictionary,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,freq_low_progress,freq_high_progress,direction,adjusted_p,significant,composite_score
32K_d32768_k48,17769,8880.0,3.986217273837672e-23,0.4975101856043459,0.4975101856043459,0.0006596593302674592,0.005617278162389994,0.09574468085106383,0.5797872340425532,higher_in_high_progress,2.320864279434378e-21,True,10.265799425525154
32K_d32768_k48,1687,26005.0,5.553438638928641e-24,-0.4715368945224083,0.4715368945224083,0.004712600726634264,0.00015248716226778924,0.5,0.0425531914893617,higher_in_low_progress,3.63750230849826e-22,True,10.109372243528908
32K_d32768_k48,17661,8899.0,3.0320722538645e-22,0.49643503847894976,0.49643503847894976,0.0004152484470978379,0.0026199822314083576,0.12234042553191489,0.5957446808510638,higher_in_high_progress,1.44436896456818e-20,True,9.849430941989397
32K_d32768_k48,28826,9033.0,1.3625534647804172e-22,0.4888524219103667,0.4888524219103667,0.0003525789943523705,0.006171664223074913,0.10638297872340426,0.5585106382978723,higher_in_high_progress,7.139780155449386e-21,True,9.848574958827427
32K_d32768_k48,17550,9122.0,1.752963277295738e-22,0.4838162064282481,0.4838162064282481,0.0005409905570559204,0.003835677169263363,0.0851063829787234,0.5638297872340425,higher_in_high_progress,8.961490315150895e-21,True,9.699363340307306
32K_d32768_k48,16082,26113.0,9.371336331049444e-23,-0.477648257129923,0.477648257129923,0.005572599824517965,0.00036148785147815943,0.5319148936170213,0.0797872340425532,higher_in_low_progress,5.169031828915693e-21,True,9.689854735673467
32K_d32768_k48,21119,26061.0,9.672318321754757e-23,-0.4747057492077864,0.4747057492077864,0.005917517468333244,0.0003407456970307976,0.526595744680851,0.07446808510638298,higher_in_low_progress,5.198251077537941e-21,True,9.628999180102143
32K_d32768_k48,28165,26009.5,7.268374664890319e-23,-0.47179153463105483,0.47179153463105483,0.0044370489194989204,0.00022049856488592923,0.5159574468085106,0.06914893617021277,higher_in_low_progress,4.11743602638111e-21,True,9.617646477674747
32K_d32768_k48,4387,25653.0,1.024156043849586e-23,-0.4516183793571751,0.4516183793571751,0.00634220615029335,0.00010287119948770851,0.46808510638297873,0.02127659574468085,higher_in_low_progress,6.31362078796686e-22,True,9.574183869582427
32K_d32768_k48,2631,8897.0,1.7353258394182502e-21,0.4965482118605704,0.4965482118605704,0.0008717481978237629,0.005162829998880625,0.14893617021276595,0.6170212765957447,higher_in_high_progress,7.738814807277985e-20,True,9.489694526173752
32K_d32768_k48,13521,25572.0,1.9120130266900926e-23,-0.44703485740153925,0.44703485740153925,0.004040929023176432,9.560778562445194e-05,0.4627659574468085,0.02127659574468085,higher_in_low_progress,1.1450226582692669e-21,True,9.361440061211871
32K_d32768_k48,24109,8818.0,5.6995210517828354e-21,0.5010185604345858,0.5010185604345858,0.0013470285339280963,0.0061663668602705,0.18085106382978725,0.648936170212766,higher_in_high_progress,2.3892392249073645e-19,True,9.329837549915068
32K_d32768_k48,20253,26566.5,2.6159945459199246e-20,-0.5033103214124037,0.5033103214124037,0.0070116883143782616,0.0016753175295889378,0.675531914893617,0.22872340425531915,higher_in_low_progress,9.791293871871718e-19,True,9.06419606493475
32K_d32768_k48,15435,9276.0,1.9894224212836183e-21,0.47510185604345856,0.47510185604345856,0.0011038732482120395,0.0056115672923624516,0.09574468085106383,0.5691489361702128,higher_in_high_progress,8.687144572938466e-20,True,9.055974892209138
32K_d32768_k48,31186,9678.0,2.4206830493061397e-22,0.4523540063377094,0.4523540063377094,0.00027432103524915874,0.0030580302700400352,0.0425531914893617,0.4946808510638298,higher_in_high_progress,1.1799422491501556e-20,True,9.014573627775933
32K_d32768_k48,23728,26027.0,4.867054283149065e-21,-0.47278180172023543,0.47278180172023543,0.004586000926792622,0.0005895182839594781,0.5638297872340425,0.11170212765957446,higher_in_low_progress,2.0819073015266204e-19,True,8.832291483736357
32K_d32768_k48,23610,9035.0,8.685604551571102e-20,0.48873924852874606,0.48873924852874606,0.0007194769568741322,0.002877033781260252,0.20212765957446807,0.648936170212766,higher_in_high_progress,2.9844306787037753e-18,True,8.565223022950446
