target,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_burden,mean_high_burden,freq_low_burden,freq_high_burden,direction,adjusted_p,significant,composite_score
total_burden_rate_within_suite_q25_q75,10747,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.3991375201148912e-05,2.4054674213402905e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10452,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.9319411876494996e-05,2.0559251424856484e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10435,17861.0,0.9978807556976608,-5.599104143327871e-05,5.599104143327871e-05,3.6714496673084795e-05,3.758639650186524e-05,0.010638297872340425,0.010526315789473684,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10407,17872.0,0.9795629932246921,-0.0006718924972004547,0.0006718924972004547,0.0003620444913394749,0.00038351648254320025,0.06382978723404255,0.06315789473684211,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5823,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.463150849507656e-05,4.736259506898932e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10116,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.8986567485844716e-05,2.0936944565619342e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,4121,17863.0,0.9894040774961113,-0.00016797312430005817,0.00016797312430005817,9.17814249987714e-05,8.100843842839822e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5402,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.3748456442262977e-05,2.482504532963503e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,4482,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.849731052061543e-05,2.7658819817588665e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,6035,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.8238433767692186e-05,2.0769954062416218e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,16302,17866.0,0.9834294083326989,-0.00033594624860011635,0.00033594624860011635,9.39951351028867e-05,9.079616575036198e-05,0.02127659574468085,0.021052631578947368,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,37,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.3054364646668546e-05,1.8941116650239564e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10459,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.0049545128131285e-05,2.0035531633766368e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,755,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,3.492156247375533e-05,2.8495536753325723e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,95,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.0060964743606746e-05,2.1271860532579012e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,291,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,1.911648541863542e-05,1.866933780547697e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10646,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.1355324861360714e-05,2.1850504708709195e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10632,17864.0,0.9851661270842238,-0.00022396416573355893,0.00022396416573355893,4.5246455556480214e-05,4.1226070607081056e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,16308,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,4.089873254997656e-05,3.652082523331046e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5762,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.5371453375555575e-05,2.560227585490793e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5955,17859.5,1.0,2.7995520716639355e-05,2.7995520716639355e-05,0.00010766366176540032,0.00011231182725168765,0.026595744680851064,0.02631578947368421,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10198,17861.5,0.9965300874677292,-8.398656215002909e-05,8.398656215002909e-05,5.729637632612139e-05,6.10820934525691e-05,0.015957446808510637,0.015789473684210527,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5976,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.82243857125286e-05,2.0497096556937322e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,13305,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.400244375166949e-05,2.568121999502182e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,13279,17866.5,0.9943098148261641,-0.0003639417693168667,0.0003639417693168667,0.003057505004107952,0.003024569945409894,0.28191489361702127,0.2789473684210526,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5407,17883.5,0.9532044674707953,-0.001315789473684159,0.001315789473684159,0.00023569435870740563,0.00019148227875120938,0.047872340425531915,0.04736842105263158,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,13548,17862.0,0.9936423268955563,-0.00011198208286677946,0.00011198208286677946,5.407412027125247e-05,4.0642124076839536e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5597,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.0517329176072963e-05,2.1893893062951975e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5380,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,3.645658944151364e-05,4.759952844324289e-06,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5363,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.9448027160251513e-05,2.3757980670779943e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,13688,17862.0,0.9936423268955563,-0.00011198208286677946,0.00011198208286677946,3.834856397588737e-05,3.901401214534417e-05,0.010638297872340425,0.010526315789473684,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,13681,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.8843680663849227e-05,2.1564295821008272e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,13642,17860.0,1.0,0.0,0.0,4.253846054780297e-05,5.135994069860317e-05,0.010638297872340425,0.010526315789473684,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,16040,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.100929486914538e-05,1.7226784621016122e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10320,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.0715087885037065e-05,2.2828309738542885e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,943,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.4360955649171956e-05,1.810422691050917e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,15893,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.3801801944500767e-05,2.5513496439089067e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,15890,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.911755680339411e-05,2.0573846995830536e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,15877,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,6.513029074994847e-05,2.2228990928852e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,15856,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.0775465600308962e-05,2.5813031243160367e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5478,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,4.480839561438188e-05,2.418943950033281e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10546,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.8291922970092855e-05,3.0224877264117822e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,10532,17864.0,0.9851661270842238,-0.00022396416573355893,0.00022396416573355893,4.383849955047481e-05,3.848827691399492e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5814,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.922054954979103e-05,2.631770257721655e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5776,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.8402517525828443e-05,2.1282578018144704e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,16246,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.4782026230241172e-05,9.648738341638818e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,14182,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.9267448806203902e-05,2.3714832423138432e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,11912,17859.0,0.9984934751640964,5.599104143338973e-05,5.599104143338973e-05,7.891873974585906e-05,0.00010293908417224884,0.02127659574468085,0.021052631578947368,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,7551,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.1093896066304296e-05,2.4080092771328054e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,7726,17865.5,0.9826517497728154,-0.000307950727883588,0.000307950727883588,0.00010696037497837096,7.850288966437802e-05,0.015957446808510637,0.015789473684210527,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,4191,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.5193670808221214e-05,2.279420914419461e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
