phase,feature_idx,n_phase_steps,n_other_steps,mean_activation_phase,mean_activation_other,delta_phase_minus_other,ratio_phase_over_other
safety_onset_window,3212,376,23688,0.001064097305680526,0.0033867344501145543,-0.0023226371444340283,0.31419567177595914
safety_onset_window,5981,376,23688,0.012470525852899919,0.00605506165956777,0.006415464193332149,2.0595208693201164
safety_onset_window,8150,376,23688,0.001363372653128302,0.0027975984332420634,-0.0014342257801137615,0.48733679463364765
safety_onset_window,9215,376,23688,0.005814774110516969,0.009048253258843415,-0.003233479148326446,0.6426405123921385
safety_onset_window,9998,376,23688,0.0020158377604836478,0.005424599124625708,-0.00340876136414206,0.3716104571363582
safety_onset_window,10609,376,23688,0.0039354797422965155,0.006248537851582454,-0.0023130581092859386,0.6298241021777355
safety_onset_window,11070,376,23688,4.856488568351624e-05,0.005504227734384105,-0.005455662848700589,0.00882319700911692
safety_onset_window,11183,376,23688,0.0007001992310100096,0.004508186179917458,-0.003807986948907448,0.15531728350731733
safety_onset_window,11471,376,23688,0.0,0.0052744177468429295,-0.0052744177468429295,0.0
safety_onset_window,13328,376,23688,0.004174783741658989,0.00400216176440516,0.00017262197725382948,1.0431321839084848
safety_onset_window,14915,376,23688,4.934473458598269e-05,0.0033969934960548557,-0.003347648761468873,0.014526002078982447
safety_onset_window,15030,376,23688,0.005596302603272364,0.0048236616658960865,0.000772640937376278,1.1601772659220586
safety_onset_window,15118,376,23688,0.0005019612144678831,0.003759483341717377,-0.003257522127249494,0.13351866967937706
safety_onset_window,15790,376,23688,0.0011454593350595616,0.00380512569454297,-0.002659666359483408,0.3010306168603825
safety_onset_window,15872,376,23688,0.002053221548966905,0.0037530936883892695,-0.0016998721394223646,0.5470744189836877
safety_onset_window,15966,376,23688,0.01055833980678878,0.004037650248896971,0.006520689557891809,2.614971370953482
