condition,mean_progress_logit_delta,mean_action_shift_l2,mean_translation_shift_l2,mean_rotation_shift_l2,mean_gripper_shift_abs
random20_trial085,0.13630212840697886,0.005981516234893068,0.0055943331506928635,0.001375398376851424,0.0009448620982234884
random20_trial086,0.05183384741113303,0.007848636311054787,0.007526661491354441,0.0017441887088730649,0.0009628646446142488
random20_trial087,0.05575117698214406,0.004829053678635781,0.0043579833961896,0.0007863254536835348,0.0014122160961221777
random20_trial088,0.06406720046142111,0.004754439136541992,0.004379955856539901,0.0010818509544485043,0.0011680013259742772
random20_trial089,-0.061126185030908185,0.009184239873528023,0.00866768411357847,0.0016472929455629585,0.0017881249195570573
random20_trial090,0.10505752737881946,0.006681303698713525,0.005871795360843833,0.0013345128405305084,0.0025597354288917572
random20_trial091,-0.06911727061152503,0.006853657633732879,0.006391936423460844,0.0013995928627535308,0.001672097966377592
random20_trial092,0.06857688568356257,0.002369735720018985,0.0020408219677254453,0.000521526434211293,0.0009008027972966086
random20_trial093,0.10004101092123546,0.003455781815420652,0.0032465540374177217,0.0006032522543390379,0.000672769324766993
random20_trial094,0.10855686890959056,0.0026890085259599085,0.002422814370499878,0.0005236862430724771,0.0005347169666729409
random20_trial095,0.07399536004601455,0.007362164721781749,0.0058032309941563635,0.0011471796899442466,0.0037638094011148413
random20_trial096,0.08972051672588227,0.006553565240544401,0.005444528883511876,0.0016789976986240622,0.0023707022627006335
random20_trial097,0.08948162230213032,0.008036921945537422,0.007508896208496463,0.001304056716961751,0.002236823322069529
random20_trial098,0.08212047869666526,0.004224640312968218,0.0036302449638714956,0.0010076771888914969,0.0015575023734088974
random20_trial099,0.0681258270644944,0.0041532139925050835,0.003913197692708395,0.0005067484322456584,0.0010495751719840892
random20_trial100,0.04717659582720567,0.006628147859949468,0.005914590823442166,0.0016962976078606013,0.0018992378170823326
random20_trial101,0.043017130844866046,0.009143204968163895,0.007928669777832874,0.001471800195032668,0.0038021997051152726
random20_trial102,0.1135039677435221,0.005017711916242261,0.00419735898952669,0.0013010401501474995,0.0019685627117781725
random20_trial103,0.13693297616045227,0.009123910019620471,0.008280989130223838,0.0017113765404790575,0.0029921822285831866
random20_trial104,0.04905357240408779,0.006361164894645399,0.005375666980324685,0.0008948840108237979,0.0031605642120821277
random20_trial105,0.14168844425157276,0.004114613145677287,0.003652516868177188,0.0009450763217203698,0.001219043647223669
random20_trial106,0.02933670810362815,0.007710427416753199,0.0075654102270073685,0.0009277784317748381,0.0007277904639620774
random20_trial107,0.11467525218402,0.006576342997168306,0.006340946354060882,0.0013605697484388153,0.0006363173755513963
random20_trial108,0.08526425520042082,0.00548623110525375,0.004671940580096031,0.001004742125612549,0.0024975488920009844
random20_trial109,0.0182818426325291,0.00519507129929243,0.0047023402006374365,0.0009511493936032682,0.0015093717461861637
