feature_idx,feature_col,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,direction,in_submitted_top20,adjusted_p,significant
2481,f2481,0.31989151063570387,0.10341432769364386,0.10341432769364386,0.0,3.3314136708987236e-05,higher_in_high_progress,False,0.38255499280564464,False
11573,f11573,0.31989151063570387,-0.10341432633235048,0.10341432633235048,3.330001577814202e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
5409,f5409,0.31989151063570387,-0.1034143263180174,0.1034143263180174,3.329986716283724e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
5394,f5394,0.31989151063570387,-0.10341432392308392,0.10341432392308392,3.327505336083617e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
16365,f16365,0.31989151063570387,0.103414317913851,0.103414317913851,0.0,3.321295445586755e-05,higher_in_high_progress,False,0.38255499280564464,False
5366,f5366,0.31989151063570387,0.1034143117709835,0.1034143117709835,0.0,3.3149713689976065e-05,higher_in_high_progress,False,0.38255499280564464,False
7336,f7336,0.31989151063570387,-0.10341430808540407,0.10341430808540407,3.311188614114787e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
8136,f8136,0.31989151063570387,0.10341430632846456,0.10341430632846456,0.0,3.309388387393404e-05,higher_in_high_progress,False,0.38255499280564464,False
7987,f7987,0.31989151063570387,-0.10341430337401142,0.10341430337401142,3.306365552100691e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
11046,f11046,0.31989151063570387,0.10341429776256539,0.10341429776256539,0.0,3.30063940441984e-05,higher_in_high_progress,False,0.38255499280564464,False
427,f427,0.31989151063570387,-0.10341429622755129,0.10341429622755129,3.299076466801277e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
6197,f6197,0.31989151063570387,-0.10341429322118696,0.10341429322118696,3.296019697680745e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
13824,f13824,0.31989151063570387,-0.10341428609782927,0.10341428609782927,3.2887994708056915e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
13093,f13093,0.31989151063570387,0.10341428392406515,0.10341428392406515,0.0,3.286602441221436e-05,higher_in_high_progress,False,0.38255499280564464,False
2045,f2045,0.31989151063570387,-0.10341428133062222,0.10341428133062222,3.2839850780177125e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
12525,f12525,0.31989151063570387,-0.1034142750507001,0.1034142750507001,3.2776644691190426e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4309,f4309,0.31989151063570387,0.10341426823430011,0.10341426823430011,0.0,3.270831385112181e-05,higher_in_high_progress,False,0.38255499280564464,False
10212,f10212,0.31989151063570387,-0.10341426731691922,0.10341426731691922,3.269913933299309e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
