trial,n,top20_auroc,top20_pr_auc,welch_fdr_significant_count,max_abs_train_effect,selected_features
97,376,0.7751810774105932,0.7846766282269189,339,0.0179238124760462,"f13576,f15198,f6638,f1369,f13874,f4867,f3236,f3504,f9712,f4135,f4932,f11836,f1215,f665,f7060,f2830,f12441,f11738,f13898,f5678"
98,376,0.7924966047985514,0.7891109002716208,389,0.018789766470287364,"f1369,f6638,f9712,f3504,f4135,f13874,f1215,f2830,f15198,f3236,f11836,f13576,f665,f11058,f4932,f11644,f11738,f12441,f5678,f4867"
99,376,0.7584455636034406,0.7838616736923272,359,0.01813130664758065,"f13576,f6638,f1369,f3236,f13874,f665,f3504,f9712,f1215,f15198,f4135,f4932,f11836,f11644,f2830,f12441,f11058,f7060,f5678,f13898"
100,376,0.7861447487550929,0.8116660578702791,314,0.01875695356841573,"f13874,f6638,f1369,f3236,f4135,f9712,f1215,f3504,f11836,f13576,f4932,f665,f15198,f11644,f12441,f4867,f11058,f2830,f5678,f13898"
101,376,0.76277444545043,0.7585741298156357,315,0.017674597966028948,"f665,f6638,f13874,f1369,f13576,f15198,f9712,f3236,f4932,f1215,f3504,f11836,f4867,f11644,f4135,f1219,f13898,f12441,f7060,f2830"
102,376,0.7897380036215482,0.7931181027109702,373,0.018147789610629045,"f4135,f1369,f13576,f6638,f9712,f3504,f3236,f13874,f11836,f665,f1215,f4932,f2830,f13898,f15198,f12441,f4867,f7060,f11644,f11058"
103,376,0.7706258488003622,0.793524779099208,333,0.01876745031690817,"f6638,f1369,f3504,f9712,f1215,f4135,f3236,f5678,f665,f11836,f13576,f13874,f15198,f12441,f11644,f1219,f11058,f4867,f7060,f11738"
104,376,0.8035451561792668,0.8013972752315746,345,0.01805934002325729,"f15198,f3236,f13576,f1369,f6638,f3504,f1215,f2830,f9712,f4867,f665,f13874,f7060,f11644,f4135,f11836,f5678,f4932,f11058,f12441"
105,376,0.7482599592575826,0.7606722586627062,303,0.018340806610525583,"f6638,f13874,f1369,f3236,f13576,f15198,f3504,f9712,f1215,f11836,f4932,f665,f4135,f11644,f4867,f11058,f12441,f7060,f5678,f827"
106,376,0.7614588048890901,0.7506658701169426,359,0.018072109327631723,"f6638,f1369,f13874,f3504,f9712,f13576,f665,f4135,f1215,f3236,f11836,f7060,f15198,f11644,f2830,f5678,f12441,f4932,f4867,f11058"
107,376,0.7834710276143051,0.8012823870280203,342,0.018782832010827456,"f1369,f6638,f9712,f4135,f3504,f3236,f1215,f15198,f4932,f13874,f665,f4867,f11836,f11058,f13576,f5678,f12441,f11644,f827,f2830"
108,376,0.782028066998642,0.7941312010901234,325,0.018571509647757743,"f6638,f1369,f3504,f13874,f3236,f9712,f665,f13576,f4135,f1215,f15198,f11836,f12441,f11644,f2830,f5678,f7060,f11058,f4867,f13898"
109,376,0.7750254640108647,0.7660695534067894,318,0.01833384935347797,"f13576,f665,f6638,f1369,f9712,f3236,f3504,f4135,f13874,f1215,f4932,f11836,f15198,f11644,f5678,f12441,f7060,f11058,f4867,f2830"
110,376,0.7714887958352196,0.8153674579869143,386,0.018741843979211217,"f1369,f6638,f1215,f3236,f3504,f9712,f13576,f665,f13874,f11836,f4135,f15198,f5678,f827,f12441,f11644,f11058,f2830,f4932,f15377"
111,376,0.7626754187415119,0.7702508507164558,352,0.018397237208889812,"f6638,f1369,f3236,f3504,f13874,f4135,f1215,f9712,f11836,f665,f15198,f13576,f11644,f12441,f5678,f11058,f827,f2830,f4932,f1219"
112,376,0.7376641014033499,0.7681094113512248,356,0.018386969545935355,"f1369,f665,f6638,f9712,f3236,f13576,f3504,f1215,f4932,f13874,f15198,f4135,f11836,f4867,f5678,f11644,f2830,f11058,f12441,f7060"
113,376,0.7684897012222724,0.7493247449030969,353,0.01836832662786731,"f6638,f1369,f3236,f4135,f3504,f1215,f13576,f9712,f11836,f15198,f665,f13874,f12441,f5678,f11644,f11058,f4867,f1219,f4932,f11738"
114,376,0.7908838841104572,0.8325233588953886,351,0.018653301487458807,"f6638,f1369,f15198,f3236,f3504,f13874,f9712,f1215,f11836,f665,f4135,f5678,f11058,f11644,f4867,f13576,f12441,f15040,f11738,f13316"
115,376,0.7615295382526029,0.7735893971630279,387,0.018078554476155535,"f6638,f1369,f665,f15198,f4932,f3236,f9712,f13576,f13874,f3504,f4135,f2830,f1215,f11836,f4867,f11058,f5678,f11644,f12441,f7060"
116,376,0.7793967858759621,0.7848463169664983,340,0.018451590759758912,"f6638,f1369,f13874,f3236,f9712,f665,f13576,f4135,f3504,f4932,f1215,f11644,f15198,f11836,f11058,f11738,f15377,f5678,f827,f12441"
117,376,0.7611758714350385,0.7993377128716986,326,0.018589659589045515,"f6638,f1369,f3236,f9712,f13874,f13576,f1215,f3504,f4932,f11836,f15198,f4135,f665,f12441,f11644,f11058,f827,f5678,f2830,f7060"
118,376,0.7820705070167497,0.7921015520162249,342,0.018044214373692215,"f6638,f1369,f665,f13576,f3236,f1215,f9712,f3504,f13874,f4867,f11836,f4135,f2830,f15198,f11738,f11644,f5678,f11058,f12441,f4932"
119,376,0.7751669307378903,0.7894160665177661,368,0.017969229174381533,"f6638,f665,f1369,f3236,f13874,f4135,f13576,f4932,f3504,f9712,f15198,f11836,f11738,f1215,f4867,f5678,f2830,f12441,f7060,f13678"
120,376,0.7816744001810774,0.8059172773190422,330,0.018580827222978474,"f6638,f1369,f9712,f3236,f1215,f3504,f13874,f13576,f4135,f15198,f11836,f11058,f5678,f665,f12441,f11644,f1219,f827,f15377,f7060"
