trial,control_type,auroc,pr_auc,selected_features
81,matched_random20,0.6099762335898598,0.5729079447616696,"f203,f3573,f11096,f5129,f6506,f4986,f14690,f2271,f711,f7835,f15434,f14711,f3121,f3047,f854,f1983,f2580,f4252,f12370,f8845"
82,matched_random20,0.6755743549117248,0.668721391905434,"f1770,f6894,f7831,f496,f495,f6295,f12108,f11270,f5696,f3275,f1170,f812,f2240,f10210,f15774,f13225,f4478,f3760,f14748,f8725"
83,matched_random20,0.6422165006790403,0.626482186669922,"f2460,f3231,f7687,f5129,f6332,f1333,f3307,f9344,f11889,f8512,f5352,f5613,f1874,f10998,f14617,f1658,f6291,f15088,f5260,f565"
84,matched_random20,0.735669420552286,0.7391013602333291,"f15965,f11703,f15091,f2012,f5084,f9722,f8976,f2476,f7539,f11818,f13100,f11858,f6618,f5608,f4866,f3397,f6316,f7464,f16356,f6478"
85,matched_random20,0.6488795835219556,0.6007790028655806,"f10436,f2393,f1336,f9523,f15495,f12411,f7239,f3512,f235,f5635,f15857,f1924,f13592,f10552,f9164,f168,f12293,f4854,f11142,f13766"
86,matched_random20,0.5910904255319149,0.5503286974905656,"f13164,f9476,f13924,f960,f1696,f12172,f1792,f9061,f15927,f391,f6961,f498,f4594,f10552,f6575,f3695,f5827,f14362,f7225,f7085"
87,matched_random20,0.7751103440470801,0.7316405215017064,"f4669,f571,f13509,f4976,f10424,f11818,f13012,f14421,f15373,f10383,f13382,f5838,f15277,f10981,f12347,f7331,f15331,f4953,f12256,f7649"
88,matched_random20,0.6549485061113627,0.6671599920394204,"f3259,f16342,f9617,f1729,f15683,f4251,f15418,f12226,f6814,f7817,f10200,f15449,f9846,f4045,f7889,f6977,f7884,f9055,f4712,f3677"
89,matched_random20,0.7018022861023088,0.7085894564175996,"f15421,f12063,f5683,f7887,f1599,f460,f3121,f1607,f12667,f1905,f14660,f3293,f3172,f7575,f2861,f5768,f1747,f4959,f13510,f12045"
90,matched_random20,0.5393843368039838,0.5404273143077466,"f15228,f3365,f11096,f5129,f4558,f7734,f4915,f6525,f1485,f2948,f11767,f14755,f3199,f9127,f13725,f1695,f11671,f3048,f3139,f5000"
91,matched_random20,0.7985513807152559,0.785823495703762,"f14675,f11154,f3166,f9617,f1607,f14196,f12767,f2667,f3236,f16053,f14045,f1279,f7977,f15998,f4519,f8478,f1331,f7470,f4133,f4075"
92,matched_random20,0.7074751018560435,0.664072265048936,"f203,f9476,f8064,f9523,f8827,f3283,f10557,f5791,f11066,f9094,f811,f6232,f13298,f16351,f13075,f3764,f13499,f3695,f14938,f15974"
93,matched_random20,0.6649360570393844,0.6224067351523397,"f14917,f5574,f7229,f7946,f6361,f2328,f329,f13008,f6432,f13591,f14514,f13399,f71,f8860,f13408,f4854,f1740,f10627,f11428,f13936"
94,matched_random20,0.7596480307831597,0.7571000348331496,"f6466,f3573,f7887,f1651,f2307,f11654,f4008,f14745,f3514,f11571,f11446,f150,f12397,f1842,f4118,f14061,f16331,f11889,f12782,f15748"
95,matched_random20,0.8055681303757356,0.7936606459655128,"f5877,f571,f384,f13312,f9454,f7496,f8658,f11767,f13691,f708,f3891,f4867,f9852,f3575,f3474,f8939,f14660,f12714,f5312,f1929"
96,matched_random20,0.7061594612947035,0.6645630078331959,"f5470,f2706,f13509,f15710,f15548,f15557,f15783,f15511,f8829,f2938,f15126,f11302,f6669,f5962,f12949,f11245,f3723,f14938,f10531,f12347"
97,matched_random20,0.6544816659121775,0.6092635484515085,"f15993,f9810,f13084,f12147,f8061,f11543,f12453,f9728,f5374,f15566,f11038,f1351,f6063,f13908,f5130,f1660,f11036,f12126,f3219,f9247"
98,matched_random20,0.6320591896785877,0.6154940711903719,"f5877,f1367,f15433,f2786,f7029,f10015,f14146,f5444,f2004,f11016,f13645,f5791,f14939,f8013,f13017,f8901,f3675,f14323,f4986,f4594"
99,matched_random20,0.6890419873245812,0.6516017231266116,"f11987,f11703,f13312,f4562,f10907,f7492,f1186,f474,f10389,f838,f10846,f12380,f11158,f13698,f6152,f4933,f12937,f15275,f637,f3908"
100,matched_random20,0.6642994567677682,0.641194454870993,"f10436,f863,f7831,f4976,f15323,f4133,f15178,f3914,f8165,f3411,f12644,f106,f9931,f2508,f9429,f13601,f329,f12543,f3152,f4860"
101,matched_random20,0.5828004753282028,0.5934291902251565,"f1770,f7427,f3166,f13067,f3606,f10033,f15886,f15722,f1679,f1351,f15035,f13521,f12063,f7991,f15154,f2436,f10370,f11301,f4478,f8662"
102,matched_random20,0.7452325712992304,0.7485128319151927,"f15603,f2706,f12046,f5575,f2419,f7687,f7449,f6478,f1241,f7642,f8297,f505,f10847,f4741,f13507,f12321,f7367,f2786,f11443,f881"
103,matched_random20,0.656349026708918,0.6519903964454331,"f6529,f6803,f224,f1651,f9566,f5000,f2476,f12640,f540,f9979,f12450,f7999,f10245,f7473,f4385,f11036,f12362,f16007,f5129,f8402"
104,matched_random20,0.8165600950656404,0.8377523212393321,"f14184,f3573,f13924,f11585,f9453,f6525,f2081,f9620,f5379,f15185,f9627,f13472,f14514,f11638,f6072,f76,f7083,f2670,f11715,f12670"
105,matched_random20,0.803870529651426,0.7685894680068507,"f12928,f3365,f4562,f7696,f10520,f6657,f5876,f3950,f8009,f3704,f4324,f4417,f9366,f8596,f15551,f3440,f6466,f12092,f8295,f8092"
106,matched_random20,0.7063150746944319,0.6957457076305182,"f2020,f5932,f6070,f7946,f6962,f8205,f443,f7386,f14625,f14748,f14061,f12854,f5444,f1183,f8564,f5204,f12296,f7487,f1495,f13804"
107,matched_random20,0.8035027161611589,0.8137140888711385,"f13164,f6803,f10708,f9555,f13530,f505,f8143,f13765,f8727,f16016,f11964,f12871,f13779,f11177,f9114,f5725,f7348,f5530,f7494,f13879"
108,matched_random20,0.7578655500226348,0.7064580868143188,"f13164,f16183,f14409,f12500,f15722,f12411,f748,f2347,f11579,f5341,f1441,f7700,f12,f3121,f16328,f4616,f3739,f15040,f2705,f8165"
